dataset,prec_50,rec_50,f1_50,prec_60,rec_60,f1_60,prec_70,rec_70,f1_70,prec_80,rec_80,f1_80,prec_90,rec_90,f1_90,prec_100,rec_100,f1_100
SEIR015_sl1000_mr025_nv5_10,0.818,0.75,0.783,0.844,0.75,0.794,0.875,0.583,0.7,0.857,0.5,0.632,0.857,0.5,0.632,0.85,0.472,0.607
SEIR015_sl1000_mr025_nv5_11,0.771,0.574,0.659,0.771,0.574,0.659,0.76,0.404,0.528,0.714,0.319,0.441,0.75,0.319,0.448,0.789,0.319,0.455
SEIR015_sl1000_mr025_nv5_12,0.429,0.273,0.333,0.429,0.273,0.333,0.5,0.273,0.353,0.6,0.273,0.375,0.5,0.182,0.267,0.5,0.182,0.267
SEIR015_sl1000_mr025_nv5_13,0.885,0.742,0.807,0.913,0.677,0.778,0.938,0.484,0.638,1,0.355,0.524,1,0.355,0.524,1,0.355,0.524
SEIR015_sl1000_mr025_nv5_14,0.625,0.667,0.645,0.643,0.6,0.621,0.75,0.6,0.667,0.8,0.533,0.64,0.889,0.533,0.667,0.889,0.533,0.667
SEIR015_sl1000_mr025_nv5_15,0.796,0.662,0.723,0.84,0.646,0.73,0.8,0.492,0.61,0.788,0.4,0.531,0.839,0.4,0.542,0.833,0.385,0.526
SEIR015_sl1000_mr025_nv5_16,1,0.769,0.87,1,0.731,0.844,1,0.538,0.7,1,0.423,0.595,1,0.423,0.595,1,0.423,0.595
SEIR015_sl1000_mr025_nv5_17,0.846,0.805,0.825,0.865,0.78,0.821,0.857,0.585,0.696,1,0.439,0.61,1,0.415,0.586,1,0.415,0.586
SEIR015_sl1000_mr025_nv5_18,0.8,0.582,0.674,0.842,0.582,0.688,0.848,0.509,0.636,0.839,0.473,0.605,0.857,0.436,0.578,0.857,0.436,0.578
SEIR015_sl1000_mr025_nv5_19,0.583,0.636,0.609,0.6,0.545,0.571,0.6,0.545,0.571,0.667,0.545,0.6,0.667,0.545,0.6,0.667,0.545,0.6
SEIR015_sl1000_mr025_nv5_2,1,0.667,0.8,1,0.556,0.714,1,0.556,0.714,1,0.444,0.615,1,0.444,0.615,1,0.444,0.615
SEIR015_sl1000_mr025_nv5_20,0.677,0.512,0.583,0.8,0.488,0.606,0.762,0.39,0.516,0.75,0.293,0.421,0.714,0.244,0.364,0.714,0.244,0.364
SEIR015_sl1000_mr025_nv5_3,0.875,0.519,0.651,0.875,0.519,0.651,0.875,0.519,0.651,0.875,0.519,0.651,0.867,0.481,0.619,0.867,0.481,0.619
SEIR015_sl1000_mr025_nv5_4,0.775,0.62,0.689,0.763,0.58,0.659,0.769,0.4,0.526,0.714,0.3,0.423,0.714,0.3,0.423,0.714,0.3,0.423
SEIR015_sl1000_mr025_nv5_5,0.643,0.429,0.514,0.545,0.286,0.375,0.75,0.286,0.414,0.833,0.238,0.37,0.833,0.238,0.37,0.833,0.238,0.37
