dataset,tnet_old_tp,tnet_old_fp,tnet_old_fn,tnet_new_tp,tnet_new_fp,tnet_new_fn
SIR003_sl1000_mr1_nv10_3,19,4,4,18,6,5
SIR003_sl1000_mr1_nv10_4,21,8,8,23,3,6
SIR003_sl1000_mr1_nv10_5,5,3,4,5,0,4
SIR003_sl1000_mr1_nv10_6,22,4,8,20,2,10
SIR003_sl1000_mr1_nv10_7,6,2,2,5,1,3
SIR003_sl1000_mr1_nv10_8,25,8,10,26,3,9
SIR003_sl1000_mr1_nv10_9,6,1,3,6,0,3
SIR003_sl250_mr05_nv10_1,20,16,12,20,10,12
SIR003_sl250_mr05_nv10_10,11,11,8,12,8,7
SIR003_sl250_mr05_nv10_11,4,9,8,6,4,6
SIR003_sl250_mr05_nv10_12,7,5,6,7,4,6
SIR003_sl250_mr05_nv10_13,2,4,5,0,3,7
SIR003_sl250_mr05_nv10_14,6,2,2,6,2,2
SIR003_sl250_mr05_nv10_15,7,1,1,7,1,1
SIR003_sl250_mr05_nv10_16,6,4,5,7,3,4
SIR003_sl250_mr05_nv10_17,28,20,17,28,16,17
SIR003_sl250_mr05_nv10_18,17,8,10,15,8,12
SIR003_sl250_mr05_nv10_19,8,22,17,9,18,16
SIR003_sl250_mr05_nv10_2,10,4,4,10,4,4
SIR003_sl250_mr05_nv10_20,27,19,14,25,14,16
SIR003_sl250_mr05_nv10_3,17,3,5,17,3,5
SIR003_sl250_mr05_nv10_4,10,3,2,10,3,2
SIR003_sl250_mr05_nv10_5,16,7,6,17,6,5
SIR003_sl250_mr05_nv10_6,23,8,10,22,6,11
SIR003_sl250_mr05_nv10_7,24,28,22,23,26,23
SIR003_sl250_mr05_nv10_8,10,8,7,10,7,7
SIR003_sl250_mr05_nv10_9,4,7,5,4,6,5
SIR003_sl500_mr05_nv10_1,6,1,1,5,3,2
SIR003_sl500_mr05_nv10_10,22,13,17,19,7,20
SIR003_sl500_mr05_nv10_11,5,1,1,5,1,1
SIR003_sl500_mr05_nv10_12,17,10,9,16,6,10
SIR003_sl500_mr05_nv10_13,31,11,17,32,7,16
SIR003_sl500_mr05_nv10_14,22,8,11,20,8,13
SIR003_sl500_mr05_nv10_15,16,3,3,19,0,0
SIR003_sl500_mr05_nv10_16,7,7,5,7,5,5
SIR003_sl500_mr05_nv10_17,7,4,3,7,4,3
SIR003_sl500_mr05_nv10_18,11,2,2,11,2,2
SIR003_sl500_mr05_nv10_19,37,18,23,35,16,25
SIR003_sl500_mr05_nv10_2,26,7,8,26,6,8
SIR003_sl500_mr05_nv10_20,5,3,3,4,2,4
SIR003_sl500_mr05_nv10_3,22,7,7,21,4,8
SIR003_sl500_mr05_nv10_4,16,6,10,16,4,10
SIR003_sl500_mr05_nv10_5,9,1,1,9,1,1
SIR003_sl500_mr05_nv10_6,15,3,6,15,3,6
SIR003_sl500_mr05_nv10_7,14,7,4,14,7,4
SIR003_sl500_mr05_nv10_8,12,3,3,9,6,6
SIR003_sl500_mr05_nv10_9,6,1,1,6,1,1
